producto,id_producto,minimo_sin_iva,minimo_con_iva,maximo_sin_iva,maximo_con_iva
Aviso Simple Combo,8603,$130.9,$151.9,$150.6,$174.7
Aviso Destacado Combo,8599,$240.8,$279.3,$276.9,$321.2
Aviso Superdestacado Combo,8607,$430.9,$499.8,$495.5,$574.8
5 Avisos Simples Combo,8635,$491.1,$569.6,$564.7,$655.1
5 Avisos Destacados Combo,8631,$902.9,"$1,047.4","$1,038.3","$1,204.5"
5 Avisos Superdestacados Combo,8639,"$1,615.7","$1,874.3","$1,858.1","$2,155.4"
10 Avisos Simples Combo,8611,$736.6,$854.4,$847.1,$982.6
10 Avisos Destacados Combo Mensual,8652,"$1,354.4","$1,571.1","$1,557.5","$1,806.7"
10 Avisos Superdestacados Combo,8656,"$2,423.6","$2,811.4","$2,787.1","$3,233.1"
30 Avisos Simples,8858,"$1,657.3","$1,922.5","$1,905.9","$2,210.9"
25 Avisos Destacados Combo Mensual,8653,"$2,708.7","$3,142.1","$3,115.0","$3,613.4"
25 Avisos Superdestacados Combo,8658,"$4,847.2","$5,622.8","$5,574.3","$6,466.2"
50 Avisos Simples Combo,8643,"$2,209.8","$2,563.3","$2,541.2","$2,947.8"
50 Destacados combo Mensual,20220,"$4,063.1","$4,713.2","$4,672.6","$5,420.2"
50 superdestcados combo mensual,20221,"$7,270.8","$8,434.1","$8,361.4","$9,699.2"
80 Avisos Simples Combo,8651,"$2,828.5","$3,281.0","$3,252.8","$3,773.2"
100 Avisos Simples Combo,8615,"$3,182.0","$3,691.2","$3,659.3","$4,244.8"
100 Destacados combo mensual,20222,"$5,850.9","$6,787.0","$6,728.5","$7,805.0"
100 Superdestacados combo mensual,20223,"$10,469.9","$12,145.1","$12,040.4","$13,966.9"
200 Avisos Simples Combo,8619,"$4,773.1","$5,536.8","$5,489.0","$6,367.3"
500 Avisos Simples Combo,8647,"$8,949.5","$10,381.4","$10,291.9","$11,938.6"
Pack Bolillo 5S + 1D Combo Mensual,20254,$671.6,$779.1,$772.4,$896.0
Pack 10 Combo,8680,"$1,045.5","$1,212.8","$1,202.3","$1,394.7"
Pack 15 Combo,8681,"$1,413.8","$1,640.0","$1,625.8","$1,886.0"
Pack 30 Combo,8682,"$2,120.6","$2,460.0","$2,438.7","$2,828.9"
Pack 50 Combo,8683,"$2,765.8","$3,208.3","$3,180.6","$3,689.5"
Pack 80 Combo,8684,"$3,678.2","$4,266.7","$4,229.9","$4,906.7"
Pack 100 Combo,8685,"$4,080.2","$4,733.0","$4,692.2","$5,443.0"
Pack 200 Combo,8686,"$5,820.1","$6,751.3","$6,693.1","$7,764.0"
Pack 350 Combo,8687,"$8,141.9","$9,444.6","$9,363.2","$10,861.3"
Pack 500 Combo,8688,"$10,725.0","$12,441.0","$12,333.7","$14,307.1"
Pack 10 Premium,8691,"$1,568.2","$1,819.1","$1,803.4","$2,092.0"
Pack 25 Premium,8692,"$3,307.5","$3,836.7","$3,803.6","$4,412.2"
Pack 50 Premium,8693,"$4,832.9","$5,606.2","$5,557.9","$6,447.1"
Alquiler 10 Simples Suscrip,10695,$496.6,$576.0,$571.0,$662.4
Alquiler 30 Simples Suscrip,10696,"$1,117.2","$1,296.0","$1,284.8","$1,490.4"
Alquiler 50 Simples Suscrip,10697,"$1,862.1","$2,160.0","$2,141.4","$2,484.0"
Alquiler 100 Simples Suscrip,10698,"$2,482.8","$2,880.0","$2,855.2","$3,312.0"